"key","message","comment","context"
"Access Credentials","Учётные данные",,
"Access Right","Право доступа",,
"Access Rights","Права доступа",,
"Access rights","Права доступа",,
"Activate On","Активировать Вкл.",,
"Address","Адрес",,
"Admin","Администратор",,
"Administration","Администратор",,
"All Apartments","Всего квартир ",,
"All Residents","Всего жителей",,
"All address","Все адреса",,
"Apartment","Квартира",,
"Apartment Number","Номер квартиры",,
"Apartments","Квартиры",,
"Blocked","Заблокирован",,"Статус пользователя/доступа"
"Builder","Застройщик",,
"Building","Дом",,
"Building Name","Название дома",,
"Card Number","Номер карты",,
"Change password?","Сменить пароль?",,
"Choice","Выбор",,
"Confirm Password","Подтверждение пароля",,
"Confirm new password","Подтвердите новый пароль",,
"Confirm new password of the user (must be identical to the new password)","Подтверждение нового пароля пользователя (должен совпадать с новым паролем)",,
"Confirm password","Подтверждение пароля",,
"Courier","Курьер",,
"Current password","Текущий пароль",,
"Current password of the user","Текущий пароль пользователя",,
"Custom Access","Пользовательский доступ",,
"Debt Status","Статус задолженности",,
"Device","Оборудование",,
"Device Type","Тип оборудования",,
"Devices","Оборудование",,
"Email","Электронная почта",,
"Employee","Сотрудник",,
"Empty Access","Пустой доступ",,"Тип доступа без прав"
"Entrance","Подъезд",,
"Entrance Number","Номер подъезда",,
"Entrance number","Номер подъезда",,
"Entrances","Подъезды",,
"Expires On","Истекает",,"Дата окончания срока действия"
"FirmWare","Прошивка",,
"Full Access","Полный доступ",,
"Full Name","Полное имя",,
"Full Name is required","Требуется полное имя",,
"Geo result","Географический результат",,
"Guest","Гость",,
"Host","Хост",,
"House number","Номер дома",,
"IP Address","IP-адрес",,
"Ip address","IP-адрес",,
"Is Active","Активен",,
"Last Update Date","Дата последнего обновления",,
"Last password update date","Дата последнего обновления пароля",,
"Latitude","Широта",,
"Load Detailed Information","Загрузить подробную информацию",,
"Localization","Локализация",,
"Login","Логин",,
"Longitude","Долгота",,
"Main Information","Основная информация",,
"Management RC","Управление ЖК",,
"Map","Карта",,
"Model","Модель",,
"My Profile","Мой профиль",,
"Name","Имя",,
"Name of the RC","Название ЖК",,
"New Password","Новый пароль",,
"New password","Новый пароль",,
"New password of the user","Новый пароль пользователя",,
"Number","Номер",,
"Number Apartment","Номер квартиры",,
"Number of debtors","Количество должников",,
"Old Password","Старый пароль",,
"Partner","Партнёр",,
"Partner Type","Тип партнёра",,
"Password","Пароль",,
"Password Management","Управление паролем",,
"Permission Name","Название разрешения",,
"Permission Type","Тип разрешения",,
"Phone","Телефон",,
"Pin Code","Пин-код",,
"Pin Code is required","Требуется пин-код",,
"Port","Порт",,
"Protocol","Протокол",,
"Resident","Житель",,
"Residents","Жители",,
"Road","Дорога",,
"Role","Роль",,
"Role name","Название роли",,
"Save","Сохранить",,
"Security","Безопасность",,
"Select Apartment","Выберите квартиру",,
"Select Device","Выберите устройство",,
"Select Entrance","Выберите подъезд",,
"Select Permission","Выберите разрешение",,
"Serial Number","Серийный номер",,
"Service","Сервис",,
"Status","Статус",,
"Status and Access","Статус и доступ",,
"Synchronization Details","Подробности синхронизации",,
"Time Zone","Часовой пояс",,
"Total amount of debt","Общая сумма задолженности",,
"Type","Тип",,
"User","Пользователь",,
"User name","Имя пользователя",,
"User preferences","Настройки пользователя",,
"Users","Пользователи",,
"Users list","Список пользователей",,
"Uuid","UUID",,
"Valid Form","Действителен с",,
"Valid Until","Действителен до",,
"View map","Посмотреть карту",,
"Your password","Ваш пароль",,
"active","активный",,
"barrier","шлагбаум",,
"confirm new password","подтвердите новый пароль",,
"confirm password","подтверждение пароля",,
"current password","текущий пароль",,
"door","дверь",,
"expired","просрочен",,
"gate","ворота",,
"inactive","неактивный",,
"intercom","домофон",,
"lift","лифт",,
"new password","новый пароль",,
"Number of apartments","Количество квартир",,
"parking","парковка",,
"turnstile","турникет",,
"user.password.pattern-title","Пароль должен содержать не менее 8 символов, включая заглавные и строчные буквы, цифры и специальные символы.",,
"your password","ваш пароль",,
